post_id,slug,issue_type,anchor_text,trailing_chars,target_url,severity
250,va-energy-efficient-mortgage-eem,plural_split,"buying a",n,,medium
629,va-loan-benefits,plural_split,"conventional loan",s,,medium
672,first-time-homebuyers,double_suffix,"VA pre-approval",al,,high
713,irrrl,cta_corruption,"Check Your VA Loan Eligibility",n,,medium
767,va-construction-loan,plural_split,"temporary buydown",s,,medium
833,va-funding-fee,plural_split,"Temporary buydown",s,,medium
904,down-payment,plural_split,"VA buyer",s,,medium
904,down-payment,plural_split,"closing cost",s,,medium
922,va-loans-for-manufactured-and-mobile-home,cta_corruption,"Check Your VA Loan Eligibility",n,,medium
1301,what-is-credit,plural_split,"Credit score",s,,medium
2076,va-eligibility-reservists-and-national-guard,cta_corruption,"Check Your VA Loan Eligibility",n,,medium
2076,va-eligibility-reservists-and-national-guard,plural_split,"VA home loan",s,,medium
2355,va-loan-to-buy-multi-family-home,suffix_split,"VA refinance options",ing,,high
3929,va-loan-occupancy-requirements,cta_corruption,"Check Your VA Loan Eligibility",n,,medium
4058,how-rising-mortgage-rates-are-impacting-veteran-homebuyers,plural_split,"down payment",s,,medium
4064,how-rising-home-prices-are-impacting-va-borrowers,plural_split,"loan limit",s,,medium
4064,how-rising-home-prices-are-impacting-va-borrowers,acronym_in_word,"aus",e,/va-automated-underwriting-system/,critical
4192,comparing-va-rates-to-conventional-mortgage-rates,suffix_split,"CFPB — Loan Estimate Guide",with,,high
4314,when-is-best-time-of-year-to-buy-home,double_suffix,"VA closing costs",s,,high
4314,when-is-best-time-of-year-to-buy-home,plural_split,"closing cost",s,,medium
4314,when-is-best-time-of-year-to-buy-home,suffix_split,"VA refinance options",e,,high
4314,when-is-best-time-of-year-to-buy-home,plural_split,"Loan Estimate",s,,medium
4445,buying-a-foreclosed-home-with-a-va-loan,plural_split,"Foreclosure",s,,medium
6282,how-credit-card-balances-impact-credit-scores,plural_split,"credit score",s,,medium
6319,texas,plural_split,"tiny home",s,,medium
7308,pre-approval-vs-pre-qualification,suffix_split,"VA preapprova",l,,high
7575,10-mistakes-first-time-homebuyers-make,plural_split,"credit card",s,,medium
7575,10-mistakes-first-time-homebuyers-make,plural_split,"Credit Score",s,,medium
7607,top-cities-for-veterans-in-2024,plural_split,"Home Loan",s,,medium
7651,how-trump-presidency-would-affect-housing-market,acronym_in_word,"mpr",ove,/va-minimum-property-requirements/,critical
7651,how-trump-presidency-would-affect-housing-market,plural_split,"VA loan",s,,medium
7651,how-trump-presidency-would-affect-housing-market,plural_split,"construction loan",s,,medium
7736,types-of-properties-you-can-buy-with-va-loan,plural_split,"Construction loan",s,,medium
7743,role-of-earnest-money-in-home-buying-process,plural_split,"VA buyer",s,,medium
7743,role-of-earnest-money-in-home-buying-process,plural_split,"closing cost",s,,medium
7862,homebuilder-confidence-declining,plural_split,"pre-approval",s,,medium
8004,kansas,plural_split,"pre-approval",s,,medium
8043,can-you-buy-land-with-a-va-loan,acronym_in_word,"aus",e,/va-automated-underwriting-system/,critical
8043,can-you-buy-land-with-a-va-loan,plural_split,"inspection",s,,medium
8056,va-home-loan-to-build-a-house,plural_split,"rate lock",s,,medium
8863,rental-assistance-programs-for-veterans,plural_split,"assistance program",s,,medium
8953,veteran-homebuyer-assistance-programs,cta_corruption,"Check Your VA Loan Eligibility",n,,medium
8987,va-home-loan-self-employed-eligibility,plural_split,"appraisal timeline",s,,medium
9424,property-tax-exemption-for-veterans-with-disability-rating,plural_split,"property tax exemption",s,,medium
9641,va-loan-myths,plural_split,"loan assumption",s,,medium
